,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
IRF7,IRF7,-7.989105703,0.109249751,55.13117361,0.999417422,0.999417422,-6.867009088
NRL,NRL,7.028866959,13.04306533,93.55582446,0.996118223,0.981212953,-6.775170357
CHID1,CHID1,-12.95357854,8.852731818,17.80009598,0.999417422,0.94368594,-7.338653924
NSG2,NSG2,-4.102009317,4.823051019,-3.863719205,0.999417422,0.883871136,-8.185321996
CHSY3,CHSY3,-8.521647698,-6.304173444,-62.50246334,0.993863613,0.999417422,-6.969135473
PGBD5,PGBD5,-12.07715325,0.26750082,-81.52014758,0.999417422,0.999417422,-7.046668427
ROBO3,ROBO3,1.031271715,11.41992857,27.4853246,0.999417422,0.996118223,-6.973046636
MIR5692B,MIR5692B,-0.054697527,-7.909737055,83.75609529,0.9619653,0.999417422,-7.984490157
SUPT4H1,SUPT4H1,-12.84503806,-1.410757595,-38.75747275,0.931085402,0.996118223,-6.998770355
LIX1-AS1,LIX1-AS1,3.911156716,-0.885684734,50.88058815,0.993995976,0.828690023,-7.585479249
AP004609.1,AP004609.1,-2.954807574,2.411405639,-17.29784626,0.850301562,0.999417422,-7.686357643
AC006435.2,AC006435.2,-9.815822998,-6.1390633,-3.234752543,0.999417422,0.999417422,-7.60822137
RTL8A,RTL8A,2.222250438,-5.976364845,-69.99903286,0.999417422,0.996118223,-7.710389102
CPLANE2,CPLANE2,-1.980714284,-2.349385984,78.60582779,0.999417422,0.95758307,-7.218384219
UQCRC2,UQCRC2,7.91890883,13.7352032,-89.94541031,0.410195495,0.786057847,-6.954953508
AL162311.3,AL162311.3,-5.864756816,9.768930508,-32.81452569,0.999417422,0.831853243,-7.63303934
CXCL8,CXCL8,2.898021627,10.88199549,85.78091618,0.999417422,1.10E-17,-6.648676112
AC025423.1,AC025423.1,-11.96526155,2.537000863,88.13040622,0.999417422,0.999417422,-6.391858214
AC048341.1,AC048341.1,-8.056092417,9.20470863,18.5342447,0.980476868,0.992325106,-7.391185107
MT-ND3,MT-ND3,-14.98583001,-8.573963097,87.07649253,0.719203553,0.999417422,-8.055499586
HCAR3,HCAR3,-2.86722317,-7.056731239,54.0214399,0.999417422,0.022354614,-7.918101508
PTPDC1,PTPDC1,0.06351579,-7.815810714,-46.6458399,0.999417422,0.591013253,-7.94454671
AC090739.1,AC090739.1,-2.629379269,14.60195481,-3.526583911,0.999417422,0.628864907,-7.53632718
LNX1-AS2,LNX1-AS2,-15.11076178,14.19824586,-59.68637167,0.999417422,0.591661841,-6.104556086
AP002770.1,AP002770.1,-2.954626931,11.3767659,1.376154912,0.830288066,0.999417422,-6.854791518
CLC,CLC,7.045937129,-7.577937459,-13.47770939,0.709697692,0.065527859,-7.447794711
AL096817.1,AL096817.1,-3.167335758,19.30568083,80.53791161,0.999417422,0.996118223,-7.554983531
BEND5,BEND5,2.858860202,0.230340123,63.27681508,0.953646318,0.611387555,-6.771030743
AL137077.2,AL137077.2,-6.179683763,-0.480545213,-77.60819949,0.805674712,0.999417422,-6.564282951
AL159169.3,AL159169.3,-12.08539942,-7.639974145,-93.50912334,0.997256012,0.52064173,-6.270086467
AL391421.1,AL391421.1,-10.02353969,5.055933572,17.36427815,0.999417422,0.999417422,-7.623001932
RPS19P3,RPS19P3,11.16186629,1.369764101,-29.06491042,0.999417422,0.999417422,-8.042363891
AC007952.1,AC007952.1,3.081815378,-11.44484346,44.43015372,0.999417422,0.950199051,-7.429637699
RASA4DP,RASA4DP,-10.0904126,-1.785831377,-12.34046875,0.999417422,0.999417422,-6.796541241
ASXL1,ASXL1,5.058016578,9.312985665,2.138332948,0.999417422,0.999266259,-7.726518088
AC027097.2,AC027097.2,8.114321365,-5.85628732,38.0105172,0.999417422,0.999417422,-7.675693335
AC018645.2,AC018645.2,-10.88137377,15.28751388,-88.90169738,0.999417422,0.980476868,-7.996800471
CCDC154,CCDC154,-4.588000716,-11.77457999,80.46807217,0.999417422,0.999417422,-8.175872368
AC090515.2,AC090515.2,-10.0515401,-9.006760802,83.56035916,0.999417422,0.880263231,-7.726998271
DNAAF2,DNAAF2,-12.06800975,14.01300117,53.65377146,0.999417422,0.999417422,-7.926486337
TRABD2B,TRABD2B,-3.032992491,-3.668095394,-98.29094473,0.999417422,0.766455158,-8.200818827
POGZ,POGZ,-7.076345784,1.114399434,57.77270425,0.936158275,0.999417422,-7.64523491
AC073063.1,AC073063.1,14.01808465,-3.176841425,96.10430937,0.999417422,0.999417422,-6.789998537
AC126389.1,AC126389.1,-2.153583731,-5.862847144,5.150309587,0.990228774,0.993863613,-8.134880625
AL731571.1,AL731571.1,-12.83429181,9.222420509,-90.59915026,0.999417422,0.947038946,-8.139316153
SARS2,SARS2,12.96812678,-5.698619025,0.628353591,0.999417422,0.999417422,-7.618064798
AC010210.1,AC010210.1,9.838565199,22.30902584,-52.45640159,0.996118223,0.974606795,-6.219328928
PIPOX,PIPOX,13.91258552,19.46323353,-78.05718458,0.999417422,0.673958914,-7.698632812
AL513365.1,AL513365.1,-4.984127726,-2.159821291,69.11372581,0.873492614,0.999417422,-7.721807409
INF2,INF2,8.016327614,-7.462057291,-62.84689663,0.999417422,0.999417422,-6.859375437
ZNF385B,ZNF385B,13.98664105,-2.321770017,-52.1808669,0.999417422,0.999417422,-8.060109108
RF00181,RF00181,-15.08606664,10.44562551,-100.9327137,0.494562605,0.921590257,-7.706436509
IL31RA,IL31RA,-4.735978905,6.085260684,-87.99425538,0.999417422,0.999417422,-7.452272208
AC073136.1,AC073136.1,-13.0204388,-8.397674698,10.64652062,0.999417422,0.996118223,-5.721038673
AC004678.2,AC004678.2,-4.949292434,-10.35952509,-41.78906068,0.967950774,0.999417422,-6.613954315
ANKEF1,ANKEF1,8.907235592,-16.70245227,58.74217601,0.990228774,0.993863613,-8.057261208
LINC02163,LINC02163,14.99446163,15.44098069,23.93988746,0.999417422,0.996118223,-7.120890615
AL121769.1,AL121769.1,-3.325553488,1.845899097,84.85606674,0.999417422,0.999417422,-7.31536752
HTR1B,HTR1B,-7.143503256,8.36044981,52.31876694,0.999417422,0.999417422,-5.558692187
ZDHHC11,ZDHHC11,-13.91774394,-5.57179896,-1.662505509,0.91140969,0.83509663,-7.95955924
ZNF579,ZNF579,-4.061619815,-6.961415702,-95.2473104,0.999417422,0.999417422,-7.633447047
AC084824.5,AC084824.5,7.980492193,1.385974689,8.944437132,0.999417422,0.766684338,-7.921974674
ZNF200,ZNF200,-12.00436847,-5.024455105,-39.02413752,0.999266259,0.999417422,-6.258601117
MMP19,MMP19,10.11783647,10.28961444,24.29050347,0.999417422,0.864324537,-6.827177286
RPL13P5,RPL13P5,13.02921105,-8.081881419,33.23791139,0.67444685,0.873492614,-7.418913609
BNIP3L,BNIP3L,-13.76511836,-7.241478746,-85.8213484,0.999417422,0.999417422,-7.630101338
AC098864.1,AC098864.1,5.909149574,-7.084619634,-14.64485732,0.999417422,0.539212456,-4.556300088
ENKD1,ENKD1,12.88607109,14.05962893,86.33077857,0.999417422,0.999417422,-8.203025112
TCTEX1D2,TCTEX1D2,5.032363464,8.961664665,32.25290835,0.967950774,0.996118223,-7.990502922
PPARA,PPARA,-11.04703933,-6.438527382,-70.31171403,0.855465646,0.999417422,-7.309862598
RHOT1,RHOT1,10.95976183,12.33502353,48.63301575,0.999417422,0.709547545,-6.755014975
NAGPA,NAGPA,3.94276622,-10.90290465,-29.62299058,0.999417422,0.999417422,-7.234145424
CA1,CA1,6.152893766,-9.428201973,24.76619654,0.999417422,0.925437477,-7.99999097
AL592437.2,AL592437.2,1.886554368,8.48510673,47.33105864,0.943811327,0.831853243,-6.302931833
AC109927.1,AC109927.1,1.918355116,6.657631155,-56.31618338,0.999417422,0.899316187,-6.683322853
AC004466.1,AC004466.1,-9.006683284,17.41980895,-47.19790815,0.997256012,0.996118223,-5.194810077
OLFM4,OLFM4,8.929403231,6.52203362,-15.48513809,0.999417422,0.999417422,-7.839414757
LEO1,LEO1,-10.88709611,-6.49096863,0.812319774,0.999417422,0.999417422,-7.595984738
TSPOAP1,TSPOAP1,-11.04610642,-9.903567625,89.8280278,0.887490008,0.967733957,-7.706857047
SLAIN1,SLAIN1,1.61199313,-6.245267547,91.85530709,0.999417422,0.974294963,-6.620526028
C1orf53,C1orf53,-3.971237205,8.819953739,-57.77218841,0.866177092,0.999417422,-7.074280596
CTC1,CTC1,6.889277621,-6.566900814,27.60936111,0.999417422,0.999417422,-6.190107608
NEK2,NEK2,-14.17624532,-9.307874705,75.22889794,0.999417422,0.999417422,-7.47841235
PRIM1,PRIM1,10.37096004,-4.64869098,-43.77520462,0.999417422,0.999417422,-6.849855204
LIN54,LIN54,1.782725133,18.27165381,-47.37613648,0.999417422,0.999417422,-7.161499319
GBP1P1,GBP1P1,7.821251705,-11.44514177,7.301566349,0.980476868,0.999417422,-7.726844506
BTBD10,BTBD10,6.073573629,-3.480380242,-61.23534631,0.993995976,0.999417422,-7.256420334
ZDHHC21,ZDHHC21,-11.05809227,-6.778575742,20.50105639,0.999417422,0.999417422,-7.92829684
AL121832.2,AL121832.2,-13.88753257,-5.815182068,-31.37652625,0.709547545,0.999417422,-7.781033107
AC239367.3,AC239367.3,-3.136611688,12.75163216,13.04483257,0.999417422,0.999417422,-7.866122788
IGF2-AS,IGF2-AS,-4.106064484,6.493663971,-90.64863318,0.999417422,0.996118223,-7.12936811
AC105052.1,AC105052.1,6.076917752,-4.477540551,93.12505835,0.831853243,0.915712032,-4.722247259
AL391361.2,AL391361.2,-2.023647569,-1.150530577,86.53605045,0.999417422,0.999417422,-6.498926379
RN7SKP255,RN7SKP255,-6.954046771,-0.485488024,-5.826246606,0.954909603,0.999417422,-8.019311639
GS1-600G8.3,GS1-600G8.3,9.941350246,16.24730408,-67.56864046,0.631801508,0.987856854,-8.165773941
RN7SKP95,RN7SKP95,-8.771911138,-14.22638928,51.18097143,0.43382349,0.931085402,-7.706671457
AC008555.8,AC008555.8,3.993268881,10.54358748,-52.04581441,0.996118223,0.997256012,-7.393667479
PPCS,PPCS,7.973080289,-7.836670864,-11.44526493,0.999417422,0.999417422,-6.804774506
DZIP1,DZIP1,-11.58554653,-12.36252574,50.61010523,0.996118223,0.999417422,-6.436840078
AC011912.1,AC011912.1,-0.049109246,-7.952324195,-48.29435644,0.999266259,0.997485715,-6.719595537
AC004854.2,AC004854.2,-5.982228188,10.94523786,30.1210434,0.999417422,0.999417422,-7.018983009
AC069366.2,AC069366.2,7.00755837,13.91239698,48.08710402,0.996118223,0.919937463,-7.868919305
CARD10,CARD10,8.80845362,-6.337918995,-51.6896542,0.883306362,0.106085306,-8.208355949
P2RY13,P2RY13,-10.91375421,8.527196733,-42.5326549,0.996118223,0.999266259,-6.869390432
GPR35,GPR35,10.83986151,0.727321113,60.45880845,0.999417422,0.999417422,-8.012700879
MAGEA3,MAGEA3,-9.994397462,11.4589874,-24.96913306,0.999417422,0.73230245,-7.867727522
DNAJB5,DNAJB5,1.928730058,15.74473747,-32.75000061,0.968403886,0.95758307,-6.725108368
PODXL2,PODXL2,-2.373684107,8.695318569,-61.34951398,0.912870561,0.973871735,-7.690580653
ZFAND2B,ZFAND2B,13.91075966,-4.954533722,-58.36756955,0.997256012,0.897771519,-5.501741961
LINC01695,LINC01695,-15.04761685,12.1113274,-18.40765359,0.999417422,0.974294963,-6.602213459
PARVG,PARVG,-11.99283977,-1.865755313,-70.86859067,0.999417422,0.000683679,-7.672008943
AC079610.2,AC079610.2,-10.00018894,2.70304139,-81.00417468,0.999417422,0.810666303,-7.837403656
DGKZP1,DGKZP1,-3.718137037,-8.626888671,-1.524872336,0.999417422,0.988076038,-7.158137157
SAMD12,SAMD12,6.071652406,-5.74196439,-97.73252058,0.996118223,0.994844988,-6.989699236
AL589843.2,AL589843.2,2.593347939,-10.48790766,2.603464388,0.451521297,0.995333126,-8.176455888
C5AR2,C5AR2,-4.754495797,-3.999314603,-51.49982219,0.999417422,0.967950774,-6.676257117
CTBP1-AS,CTBP1-AS,1.949003272,-5.253810959,-63.42543744,0.999417422,0.999417422,-5.130235102
MIR6809,MIR6809,-4.092247112,13.61514226,11.42839695,0.999417422,0.999417422,-7.22820272
AC009879.1,AC009879.1,1.96515656,-8.314643789,51.84783657,0.973871735,0.954955361,-8.129827259
AL078645.1,AL078645.1,6.057301503,1.011323169,-13.81920525,0.94368594,0.819529004,-6.774301603
DTNB,DTNB,1.93440759,19.69188077,-91.1769872,0.999417422,0.999417422,-6.905390302
AC103769.1,AC103769.1,-12.07019176,-1.004187007,-99.82956128,0.999680525,0.999417422,-7.072869274
USP46-AS1,USP46-AS1,0.201377373,6.970909158,1.976024264,0.997256012,0.997256012,-7.919771026
AC138392.1,AC138392.1,-8.036387753,-4.008957996,-49.67772293,0.663956696,0.931831176,-4.942721404
C16orf95,C16orf95,-2.01635668,4.997182312,90.52395381,0.996118223,0.997485715,-7.854875976
UFSP1,UFSP1,-8.092145652,0.10541156,-80.67800492,0.959279179,0.999417422,-7.0406071
MRPL1,MRPL1,4.653584682,7.749256159,30.38069511,0.999417422,0.988076038,-7.13247727
RPL7P7,RPL7P7,-3.946981705,17.11657476,8.356626909,0.999417422,0.996118223,-7.845772294
AC124319.1,AC124319.1,2.916731702,10.01520537,-84.822853,0.999417422,0.999417422,-5.974689785
COX4I2,COX4I2,7.093274506,1.880440529,4.428840994,0.999417422,0.950536866,-6.754672
TMEM191A,TMEM191A,1.030747783,21.8050033,-46.97573121,0.999417422,0.999417422,-7.134857624
AP001528.2,AP001528.2,7.750867332,-9.225397277,-70.64142456,0.999417422,0.999417422,-7.198117604
AL137127.1,AL137127.1,-10.16400629,0.638849546,86.86520238,0.999417422,0.999417422,-8.087093154
IGSF9B,IGSF9B,4.794952284,2.012669976,-19.85971667,0.996118223,0.999417422,-6.004663555
AC009961.3,AC009961.3,7.015356764,10.34152419,-21.90646928,0.93574385,0.487906614,-6.683540435
AC024075.1,AC024075.1,5.24560528,-10.95328654,-24.95803622,0.999417422,0.999417422,-5.955936374
AC022400.7,AC022400.7,-13.91226407,-15.65318774,9.445300023,0.999417422,0.996118223,-5.265574792
HBM,HBM,0.940023228,8.388579861,33.72052221,0.84830949,0.742430597,-6.829001383
AC019186.1,AC019186.1,10.00120913,6.148162063,-81.97498501,0.999417422,0.999417422,-7.96173631
SEZ6,SEZ6,-1.372136267,14.0974032,-81.91267677,0.999417422,0.945044831,-6.822709268
CCDC28B,CCDC28B,11.9120229,-6.964058048,63.26758929,0.999417422,0.999417422,-7.338971157
TMC3-AS1,TMC3-AS1,2.932670549,18.35457472,75.77374285,0.999417422,0.999417422,-5.867953534
AHI1,AHI1,-12.56724459,1.788555399,-98.36261403,0.999417422,0.999417422,-3.182549636
FXN,FXN,11.94194468,-1.541559224,-68.71328434,0.990228774,0.999417422,-6.88189567
RNU1-16P,RNU1-16P,11.01309067,8.559873856,88.17169197,0.848766966,0.504432518,-5.993896997
KLHL35,KLHL35,-8.054894973,14.79209257,-67.78690384,0.999417422,0.999417422,-8.126511601
AC068831.7,AC068831.7,7.147013194,-11.0346839,49.3377216,0.603457903,0.999417422,-6.878009071
MRPL12,MRPL12,-7.014952743,5.652053094,89.76135991,0.989885948,0.808674475,-7.633231991
AL158212.4,AL158212.4,-4.950226126,-11.27429283,-30.81912633,0.999417422,0.969808027,-7.023010263
DNAJC19P5,DNAJC19P5,9.845292775,2.573622903,-64.7936579,0.961898925,0.969643555,-7.837703973
ZNF396,ZNF396,-5.965251609,7.387213785,100.3676379,0.999417422,0.996118223,-5.896410023
TM4SF5,TM4SF5,-10.96494254,-3.887957138,-88.86754905,0.999740541,0.905562985,-7.284685158
MYEF2,MYEF2,-12.83946973,4.332860532,31.40504916,0.978457173,0.968748238,-5.854270793
LINC01719,LINC01719,8.967302892,-9.428438339,-100.5795793,0.999417422,0.999417422,-6.622654677
AC092910.3,AC092910.3,0.040632548,-1.189917351,-50.2822783,0.886273443,0.996118223,-7.210337582
ADAL,ADAL,10.3281872,-2.904456811,31.84411142,0.999417422,0.999417422,-7.622662643
DMGDH,DMGDH,12.09973315,8.35689504,31.42834135,0.951461574,0.999417422,-5.782650664
AC044787.1,AC044787.1,5.929033385,16.459353,-18.96661848,0.999417422,0.962886896,-6.93915196
SYN1,SYN1,2.994137143,-9.59223206,-59.08964974,0.090013669,0.721934649,-6.822705682
MED31,MED31,13.02856391,10.44856037,86.22126139,0.999417422,0.999417422,-6.762853692
ZNF300P1,ZNF300P1,-8.992451104,-0.439567694,66.10483136,0.98700787,0.999417422,-7.834192016
LINC00032,LINC00032,-11.84555814,17.66469454,-88.56513815,0.997256012,0.946245899,-7.891414716
MRPL35P3,MRPL35P3,9.53343773,6.383384491,-39.99554764,0.999417422,0.996118223,-7.409615432
ENO3,ENO3,14.01224331,12.12715498,89.22005018,0.999417422,0.262053273,-7.480753982
LRRC37A6P,LRRC37A6P,10.90805832,22.16115239,27.11467952,0.574139126,0.999417422,-6.214732062
RPL41P2,RPL41P2,-0.96601955,14.71974943,-84.65340711,0.999417422,0.968403886,-6.593699304
GPAT2,GPAT2,-11.01564968,13.7445319,0.812359712,0.990228774,0.959096072,-7.290481486
AC027279.1,AC027279.1,12.76842487,12.35052143,-60.63786871,0.968403886,0.571382338,-7.621370098
ODR4,ODR4,10.2498202,13.68967603,-68.97064634,0.999417422,0.884957907,-7.297171471
STK32C,STK32C,-9.947867307,6.534251842,-35.79103561,0.991877677,0.999417422,-8.104799202
AC013470.2,AC013470.2,-8.978606987,-7.657048892,79.39055197,0.999417422,0.356515006,-6.854133683
AC008764.10,AC008764.10,-5.080291731,7.944147786,-65.06687214,0.686184547,0.472308443,-6.334570873
AP001107.2,AP001107.2,-14.90755922,-9.002348659,6.098049893,0.617999837,0.413368621,-6.824919722
RAB9B,RAB9B,2.032674471,17.74419709,38.31022366,0.999417422,0.999417422,-7.876936676
HCAR1,HCAR1,11.213284,-3.646524816,73.41949508,0.986414004,0.705351175,-7.214873254
XPOTP1,XPOTP1,-1.942094273,-3.814127166,-6.110310791,0.999417422,0.999417422,-6.117872947
RNU6-698P,RNU6-698P,-4.099094303,-3.634745071,66.54655216,0.999417422,0.999417422,-6.357712971
EEF1DP1,EEF1DP1,-11.25422608,11.08089387,9.384947747,0.722159387,0.999417422,-7.490575488
AC004771.3,AC004771.3,-4.029521074,16.08857826,-50.37019008,0.933963932,0.995123233,-6.738064136
TM9SF2,TM9SF2,11.15045537,3.849096605,-34.16241607,0.999417422,0.999417422,-6.72255776
SLC2A13,SLC2A13,3.984708355,3.893894027,23.86577695,0.999417422,0.999417422,-8.166180887
CD300C,CD300C,2.894830931,1.136589828,-74.83753712,0.999417422,0.977162945,-7.256585335
SP140,SP140,2.871611252,16.12685672,-1.811782344,0.973871735,0.999417422,-7.330593249
WWP1P1,WWP1P1,-14.03253239,8.288891823,-10.36489593,0.999417422,0.915016165,4.770291032
AC097634.1,AC097634.1,-8.825870847,10.23484632,13.09419516,0.967950774,0.999417422,-6.620459624
THAP3,THAP3,13.94337578,0.217096113,-83.65938572,0.999417422,0.999417422,-8.002567552
MYBBP1A,MYBBP1A,3.554065596,17.22474868,84.0949496,0.884957907,0.999417422,-7.515700298
CD7,CD7,14.07099455,17.95684315,48.68229324,0.996118223,0.182110885,-6.992999278
GLP2R,GLP2R,8.000289733,7.893935112,-6.997374885,0.67712002,0.999417422,-7.705090151
STAMBPL1,STAMBPL1,11.93023856,17.82823936,65.62386012,0.999417422,0.999417422,-6.519216198
ACY1,ACY1,2.944497769,-5.305860789,-57.27061594,0.945969037,0.765561724,-6.550524435
AC009054.2,AC009054.2,14.85215908,-1.626055837,-48.26172039,0.999417422,0.995550961,-3.941550264
SLC5A12,SLC5A12,2.998604309,-5.707834111,-29.0171871,0.999417422,0.999417422,-5.180050935
MRPL57,MRPL57,3.913131878,4.550670167,28.33184536,0.999417422,0.999417422,-7.043647576
AC023232.1,AC023232.1,-9.447812097,-12.16262394,0.354550026,0.999417422,0.999417422,-7.371312828
AC079322.1,AC079322.1,-7.035375568,-14.73725447,-54.22105433,0.999417422,0.990228774,-6.332935255
AC092653.2,AC092653.2,-13.02383953,5.717429697,-94.35782791,0.939164829,0.999417422,-4.374814855
CNTNAP2,CNTNAP2,11.18287126,10.91401788,-25.01059874,0.709697692,0.999417422,-5.982533575
RN7SL809P,RN7SL809P,3.209312415,0.286227241,-54.37284762,0.999417422,0.999417422,-7.374316258
AC009245.1,AC009245.1,-4.834036813,-12.50153046,54.01926107,0.884957907,0.999417422,-6.78496404
AC005519.1,AC005519.1,5.927098524,-4.233138314,73.3822591,0.990228774,0.999417422,-8.155066108
MIR3690,MIR3690,-5.262787418,8.640017114,77.75205538,0.996118223,0.856303093,-7.573334939
CFL1P1,CFL1P1,-3.894001439,5.775178175,91.37615774,0.996118223,0.003335407,-8.207256584
HACD1,HACD1,0.193495976,9.107133266,-45.05769678,0.999417422,0.999417422,-7.669671301
IL17RD,IL17RD,9.840475812,-7.378414515,31.88491466,0.974294963,0.962702883,-8.092970687
CDIPT,CDIPT,14.66566488,-13.8171834,20.50826116,0.999417422,0.999417422,-6.82254134
IL10,IL10,14.98484163,9.439754508,6.862090356,0.454482156,0.999417422,-6.735665946
CCDC183,CCDC183,-0.037657573,14.77597737,89.65583464,0.999417422,0.880091585,-8.157142299
AL691447.2,AL691447.2,7.926824656,2.801106743,-99.79736034,0.633098625,0.999417422,-7.171557199
AC007681.1,AC007681.1,6.946980946,3.920657669,55.70235266,0.980476868,0.999417422,-7.15512669
ZBTB8B,ZBTB8B,-10.20858994,3.278958384,-12.71703169,0.974294963,0.999417422,-8.123484088
ZFP28,ZFP28,-12.29375314,13.23790399,39.2784457,0.94368594,0.999417422,-6.842981244
H2AFY2,H2AFY2,-0.935170088,15.9786109,-5.684970651,0.999417422,0.973871735,-7.098433982
KANSL1-AS1,KANSL1-AS1,-2.056311801,13.55827957,67.74317728,0.999417422,0.999417422,-0.222851878
AL356801.1,AL356801.1,-12.18849766,4.261104354,99.30456291,0.999417422,0.999417422,-8.179937508
LINC00839,LINC00839,-13.98567666,21.07853462,14.29805699,0.999417422,0.38175558,-6.993266863
AC010203.1,AC010203.1,-9.894476446,-10.57165612,10.32887538,0.999417422,0.996118223,-7.19539418
PRDM16,PRDM16,-15.03337573,4.720899907,54.3586304,0.999417422,0.885354345,-6.741994101
PAFAH2,PAFAH2,-4.050556226,-11.32571814,96.79581338,0.93574385,0.999417422,-5.49417074
RFX8,RFX8,1.761005475,15.31525488,-28.75717615,0.999417422,0.999417422,-6.932545253
AC090152.1,AC090152.1,-9.980956396,15.87372776,70.35963296,0.054309801,0.999417422,-7.054112284
NIPSNAP3A,NIPSNAP3A,8.488065421,7.870280873,57.71099405,0.933963932,0.996118223,-5.97330717
CU638689.5,CU638689.5,2.89298116,7.054856559,-25.5848164,0.999417422,0.999417422,-7.760924628
PER1,PER1,-0.856912487,1.839681801,3.840186728,0.999417422,0.52064173,-6.644485075
ADRA2B,ADRA2B,-6.726912871,3.861430502,-69.87675189,0.999417422,0.901880496,-7.102534937
FRMD6-AS1,FRMD6-AS1,0.672227349,-7.39694784,21.62998934,0.999417422,0.641332065,-7.292022678
TRIM37,TRIM37,0.007208552,10.62924007,90.15783872,0.974606795,0.999417422,-7.340277214
STK24-AS1,STK24-AS1,-8.054770935,-3.051120341,-52.66884586,0.999417422,0.999417422,-6.867653118
AL928654.3,AL928654.3,-1.148020429,5.737115317,-49.68733255,0.996118223,0.904738022,-6.170638715
C11orf91,C11orf91,10.99539322,13.47632379,7.978996361,0.990228774,0.570105351,-7.092566187
MIR548V,MIR548V,13.98355544,11.43041682,-70.13226648,0.996118223,0.999417422,-5.260123013
AP002986.1,AP002986.1,-11.89527239,11.7101208,-38.29337349,0.884957907,0.999417422,-6.43886353
AP000424.1,AP000424.1,-2.138686264,-11.82137446,27.38272962,0.996118223,0.999417422,-7.384561566
AC027544.1,AC027544.1,-6.175739532,-5.413205566,-98.46585322,0.999417422,0.098645403,-6.429457438
PRKAG1,PRKAG1,11.96235492,-15.95152091,-50.20572058,0.996118223,0.996351788,-7.276957404
AP001189.3,AP001189.3,-8.957889069,17.63619251,93.52395147,0.999417422,0.999417422,-7.347212892
CCL13,CCL13,-9.998365115,-6.474387576,-91.98520623,0.871716944,0.761475466,-8.21822873
CEACAM21,CEACAM21,0.691181039,5.345071445,40.59585938,0.999417422,0.999417422,-7.239624581
HSCB,HSCB,8.85538751,3.625210416,2.183727888,0.996118223,0.999417422,-7.936741212
GMPSP1,GMPSP1,-12.10428607,-1.805494479,6.763435591,0.999417422,0.925653647,-5.120863089
AP005131.6,AP005131.6,-11.97559772,-7.093240608,10.18443047,0.726639837,0.996118223,-6.941385322
EPB41L4A-DT,EPB41L4A-DT,6.825432892,4.468362534,25.4175978,0.999417422,0.999417422,-7.341978767
AC009299.2,AC009299.2,-8.290427439,6.045359557,58.76996133,0.999417422,0.999417422,-6.827501265
ANGPT2,ANGPT2,13.87717563,2.153193196,37.19468098,0.999417422,0.999417422,-5.785321474
SIRT1,SIRT1,0.976605367,-0.053239701,78.76415748,0.900481203,0.999417422,-7.709736647
HPS1,HPS1,9.982360763,12.20924847,-14.33353184,0.988076038,0.996118223,-7.480740864
AMH,AMH,8.379192523,-12.28303936,-62.88478871,0.996118223,0.837120168,-7.778523462
AC104581.4,AC104581.4,7.965875365,-11.31836169,6.836109852,0.999417422,0.999417422,-7.095498502
AP000553.1,AP000553.1,2.154847578,-11.06136059,4.171201946,0.999417422,0.997256012,-7.906972009
AK4,AK4,-12.1724201,4.28155638,-15.17123643,0.999417422,0.999417422,-7.274930265
KAT2A,KAT2A,5.026171255,-8.564488821,-88.46058517,0.590607271,0.999417422,-6.620015919
MTND2P2,MTND2P2,-8.965990574,18.21810041,-55.74621265,0.93574385,0.999417422,-6.015878266
SNX8,SNX8,3.800293562,3.922807799,25.41854331,0.999417422,0.885354345,-7.579138506
WNT7B,WNT7B,9.843975682,-11.75075452,-92.41821431,0.996118223,0.999417422,-4.126924968
CYB5RL,CYB5RL,-1.27924232,-14.89526143,-50.95556118,0.999417422,0.999417422,-7.229723989
BAD,BAD,-7.036773754,9.502227998,87.75599869,0.974294963,0.83505899,-6.447454683
AL354920.1,AL354920.1,-1.905112281,-5.011458906,-93.08317356,0.968403886,0.999417422,-7.415880571
CARD9,CARD9,1.869377986,-8.325017883,-51.71974004,0.974294963,0.997256012,-7.560997712
AL139274.2,AL139274.2,6.915453948,16.84513578,-89.55718256,0.999417422,0.999417422,-7.59809417
LINC00964,LINC00964,-1.799011241,-3.185241271,-25.04690977,0.999417422,0.996118223,-7.593108188
PRF1,PRF1,13.00787876,0.354883603,17.03381352,0.850301562,0.779557629,-7.976695616
XIAPP3,XIAPP3,10.0882164,-1.536502371,-27.53380939,0.999266259,0.992599342,-6.192970573
C16orf54,C16orf54,5.795858895,5.485502625,48.17803948,0.364856134,0.969643555,-7.934631547
RAPSN,RAPSN,-7.109139171,0.33171357,73.2550364,0.999417422,0.999417422,-7.736498038
ZNF562,ZNF562,-1.956658912,11.9582959,-61.67535997,0.999417422,0.999417422,-6.845679409
MIR524,MIR524,7.905668243,17.08182833,16.34700374,0.999266259,0.931085402,-7.962812285
ITGB1,ITGB1,8.490225535,-11.97141208,71.26421911,0.999417422,0.999417422,-6.902519131
MMACHC,MMACHC,6.785598339,-10.17732377,-15.60339899,0.999417422,0.999417422,-7.236769213
AC008760.1,AC008760.1,6.447602976,14.59311539,-18.95151069,0.974606795,0.87172535,-6.741259825
WDR97,WDR97,-10.0673908,0.546643682,35.5206645,0.996118223,0.999417422,-6.6111033
LINC01793,LINC01793,3.171924091,1.008096282,21.52154567,0.954084116,0.996118223,-5.178349068
